Search language,Translation language,Search text,Translation text,Tags / Comments,Search example,Translation example,Source text,Document / URL
en,it,uptight,teso,"rigido, nervoso","He seemed <em>uptight</em> at the party, avoiding conversations and standing alone.","Sembrava <em>teso</em> alla festa, evitando conversazioni e standosene da solo.",
en,it,stay,rimanere,"restare, stare",The startup is developing new products at full tilt to <em>stay</em> competitive.,La startup sta sviluppando nuovi prodotti a tutto gas per <em>rimanere</em> competitiva.,
en,it,,libero,,,<em>libero</em>,
en,it,,visualizzato,,,<em>visualizzato</em>,
en,it,well up,affiorare,"affiorare, riempirsi di lacrime",Memories of her childhood began to <em>well up</em> as she walked home.,I ricordi della sua infanzia iniziarono ad <em>affiorare</em> mentre camminava verso casa.,
en,it,to assert,affermare,"farsi valere, per affermare","During negotiations, it is vital <em>to assert</em> your terms firmly.","Durante le trattative, è fondamentale <em>affermare</em> con fermezza le proprie condizioni.",
en,it,,capire,,,<em>capire</em>,
en,it,goes by,passa,"va sotto, scorre",Nearly never a day <em>goes by</em> without doing something for it.,Non <em>passa</em> quasi mai un giorno senza che facciamo qualcosa per lui.,
en,it,Shortfall,deficit,"carenza, ammanco",A <em>Shortfall</em> of Gravitas is under construction.,Un <em>deficit</em> di Gravitas è in costruzione.,
en,it,,ha fatto fuori,,,<em>ha fatto fuori</em>,
en,it,dwellings,abitazioni,"dimore, case",Their earthen <em>dwellings</em> were simple yet connected deeply to the environment.,Le loro <em>abitazioni</em> di terra erano semplici ma profondamente connesse con l'ambiente.,
en,it,slightest,minimo,"più piccolo, alcuna",She didn't give the <em>slightest</em> hint of what she was thinking.,Non ha dato il <em>minimo</em> indizio di ciò che stava pensando.,
en,it,,seminare,,,<em>seminare</em>,
en,it,akin,simile,"affine, analogo",An urgent request for one developed into something <em>akin</em> of an improvised weapon.,Una richiesta urgente di quello sviluppato in qualcosa di <em>simile</em> di un'arma improvvisata.,
en,it,hasty,affrettato,"frettoloso, precipitoso",He learned that doing nothing is sometimes better than making a <em>hasty</em> mistake.,Imparò che a volte l'inazione è preferibile a commettere un errore <em>affrettato</em>.,
en,it,attain,raggiungere,"ottenere, conseguire",An athlete can <em>attain</em> this state with regular and intense workouts.,Un atleta puo <em>raggiungere</em> questo stato con regolari ed intensi allenamenti.,
en,it,,ambire,,,<em>ambire</em>,
en,it,unstinting,instancabile,"generoso, senza riserve",He is known for his <em>unstinting</em> dedication to his craft.,È conosciuto per la sua dedizione <em>instancabile</em> al suo mestiere.,
en,it,sever,recidere,"tagliare, interrompere","Cannot be coated, but can <em>sever</em> a monster's tail.","Inibisce le boccette, ma può <em>recidere</em> la coda dei mostri.",
en,it,,ricorso,,,<em>ricorso</em>,
en,it,dimwit,idiota,"scemo, imbecille",Rolling around this shit-hole with a <em>dimwit</em> like me.,"Qui, in questo buco del cazzo insieme a un <em>idiota</em> come me.",
en,it,ascertain,accertare,"verificare, accertarsi",Nobody could <em>ascertain</em> the whereabouts of the lost package for over a week.,Nessuno ha potuto <em>accertare</em> la posizione del pacco perso per oltre una settimana.,
en,it,conceive,concepire,"immaginare, ideare",The children we could not <em>conceive</em>... manifested themselves in you.,I figli che non abbiamo potuto <em>concepire</em> si sono manifestati in voi.,
en,it,dismiss,respingere,"licenziare, ignorare",I think we should <em>dismiss</em> the complaints as they are not based on facts.,Penso che dovremmo <em>respingere</em> i reclami poiché non sono basati sui fatti.,
en,it,envisaged,prevista,"previsto, contemplato",The <em>envisaged</em> yearly quantity has to be calculated per calendar year.,La quantità annua <em>prevista</em> deve essere calcolata per anno di calendario.,
en,it,,programmati per,,,<em>programmati per</em>,
en,it,outpacing,superando,"distanziando, superiore",She's dead and in the past and still <em>outpacing</em> me.,"È morta ed è nel passato, e mi sta ancora <em>superando</em>.",
